id,name,quiz1,quiz2,quiz3,QuizAvg,pass_fail,pass_levels,certificate,library,ExtraCourse,PracticeCourse,english,precounter,quiz1counter,quiz2counter,quiz3counter,platform_Pclassification,student_Lprediction
1,hlyddy0@jiathis.com,40,56,87,61,1,1,1,1,1,0,1,3,3,7,6,75,1
2,lgosden1@gmpg.org,85,77,100,87.33333333,1,1,1,1,0,1,0,1,3,2,1,41,1
3,oohengerty2@bloomberg.com,32,82,34,49.33333333,0,0,0,0,1,0,1,3,8,5,2,26,0
4,sgiroldo3@sina.com.cn,39,56,34,43,0,0,0,0,1,1,0,9,2,9,5,62,0
5,msurcombe4@discuz.net,77,70,42,63,1,1,1,1,1,1,0,7,8,7,10,87,1
6,cguillond5@imgur.com,74,63,72,69.66666667,1,1,1,1,0,0,0,9,5,6,7,48,1
7,jlodeke6@hugedomains.com,12,31,97,46.66666667,0,0,0,1,1,1,0,9,6,2,1,87,0
8,rkrauss7@nymag.com,47,22,13,27.33333333,1,1,1,0,1,0,0,6,3,3,1,68,1
9,gbott8@nps.gov,77,34,84,65,1,1,1,0,0,0,0,5,9,4,2,3,1
10,rbickerdike9@1688.com,41,14,10,21.66666667,0,0,0,1,0,1,0,7,2,1,1,53,0
11,shana@accuweather.com,48,63,49,53.33333333,1,1,1,1,1,0,0,2,6,1,7,54,1
12,skinninb@bbc.co.uk,29,53,50,44,0,0,0,1,1,1,0,7,7,1,2,77,0
13,ahodjettsc@tuttocitta.it,67,22,50,46.33333333,0,0,0,0,0,0,0,8,7,3,3,46,0
14,pkoseld@cisco.com,18,32,49,33,0,0,0,0,0,0,0,7,9,10,2,99,0
15,gstanyone@sbwire.com,81,14,65,53.33333333,1,1,1,1,1,1,1,2,5,9,5,5,1
16,bmatijevicf@gmpg.org,99,97,42,79.33333333,1,1,1,0,1,0,1,6,8,10,2,14,1
17,oprangleyg@nba.com,87,15,79,60.33333333,1,1,1,0,1,0,0,10,3,2,5,45,1
18,mandriessenh@constantcontact.com,64,83,30,59,1,1,1,1,0,1,0,2,4,9,6,93,1
19,saddessi@google.com,16,69,28,37.66666667,0,0,0,1,0,1,1,1,5,8,5,41,0
20,hbertj@youku.com,34,83,39,52,1,1,1,1,0,1,0,10,3,9,7,88,1
21,adomokosk@businessweek.com,42,24,69,45,1,1,1,0,0,1,0,3,3,10,4,37,1
22,lduckfieldl@wired.com,88,58,29,58.33333333,1,1,1,0,0,0,0,9,10,6,5,99,1
23,lkavanaghm@whitehouse.gov,75,98,59,77.33333333,1,1,1,1,0,1,0,10,8,3,3,19,1
24,fhastonn@tripod.com,70,93,88,83.66666667,1,1,1,0,1,0,1,6,5,1,1,6,1
25,emakeno@instagram.com,26,15,53,31.33333333,0,0,0,1,1,1,0,7,6,7,2,16,0
26,kmontp@furl.net,34,87,80,67,1,1,1,1,0,1,0,2,10,5,10,51,1
27,aleysq@tripadvisor.com,34,25,30,29.66666667,0,0,0,0,0,0,0,1,5,1,8,10,0
28,vparrisr@bluehost.com,58,92,83,77.66666667,1,1,1,0,0,1,0,4,1,1,4,29,1
29,hhillins@nps.gov,76,39,60,58.33333333,1,1,1,1,1,0,1,4,4,7,4,49,1
30,pcabblet@alexa.com,45,76,34,51.66666667,1,1,1,0,1,1,0,3,7,6,2,3,1
31,cpeytonu@slate.com,67,64,86,72.33333333,1,1,1,0,0,0,0,2,10,7,9,40,1
32,mgledhillv@istockphoto.com,29,98,74,67,1,1,1,1,1,0,1,3,2,10,5,39,1
33,ahoytw@joomla.org,23,47,82,50.66666667,1,1,1,1,1,1,1,3,9,4,5,51,1
34,wbramblex@hhs.gov,19,76,17,37.33333333,0,0,0,0,0,0,0,3,2,8,6,48,0
